epoch,train_loss,train_acc,test_loss,test_acc
1,29700.943938078704,0.11631944444444445,27203.261103877314,0.05787037037037037
2,26220.981852213543,0.11921296296296297,25988.70261863426,0.11805555555555555
3,26054.629756221064,0.11400462962962964,25852.062391493055,0.06944444444444445
4,25969.482647931134,0.1111111111111111,25764.67165798611,0.05439814814814815
5,25895.890213577837,0.1076388888888889,25850.460322627314,0.06365740740740741
6,25786.508820710358,0.10300925925925926,25681.365089699073,0.05324074074074074
7,25758.78113697193,0.11313657407407407,25743.246238425927,0.14814814814814814
8,25693.02347366898,0.1154513888888889,25698.125614872686,0.011574074074074073
9,25679.164609555846,0.11400462962962964,25591.79517505787,0.09259259259259259
10,25654.139508282697,0.12094907407407407,25617.958405671296,0.14699074074074073
11,25659.259250217016,0.1154513888888889,25564.17874710648,0.2511574074074074
12,25648.092651367188,0.12702546296296297,25596.89747902199,0.005787037037037037
13,25633.772890444154,0.11024305555555555,25862.975929542823,0.003472222222222222
14,25621.585015190973,0.1015625,25639.52416087963,0.018518518518518517
15,25622.65744357639,0.0931712962962963,25571.527886284723,0.03819444444444445
16,25624.03909866898,0.10300925925925926,26444.135308159723,0.06481481481481481
17,25634.26349103009,0.10243055555555555,25568.80226417824,0.07175925925925926
18,25572.544496889466,0.08912037037037036,26149.09740306713,0.11342592592592593
19,25634.429194697626,0.08188657407407407,25612.941514756945,0.004629629629629629
20,25603.69457103588,0.09172453703703703,25502.56837745949,0.2835648148148148
21,25595.2978515625,0.09722222222222222,25568.051685474536,0.028935185185185185
22,25588.843822337964,0.09114583333333333,25486.60713252315,0.05324074074074074
23,25606.431297019677,0.08043981481481481,25586.20533130787,0.0011574074074074073
24,25599.929479528357,0.08622685185185185,25513.58185040509,0.04050925925925926
25,25582.824277524596,0.08362268518518519,25499.331199363427,0.024305555555555556
26,25579.464310257525,0.07696759259259259,25557.92505787037,0.16435185185185186
27,25561.112327293115,0.0787037037037037,25624.409577546296,0.0
28,25592.13532172309,0.09635416666666667,25530.430591724536,0.07291666666666667
29,25568.02518717448,0.09114583333333333,25548.191044560186,0.0787037037037037
30,25570.848587601275,0.09288194444444445,25557.05931712963,0.1261574074074074
