epoch,train_loss,train_acc,test_loss,test_acc
1,25437.896913881654,0.1166087962962963,25462.785300925927,0.16666666666666666
2,25421.83760579427,0.11516203703703703,25429.669867621527,0.08449074074074074
3,25425.011637369793,0.10503472222222222,25430.1201171875,0.09606481481481481
4,25426.996224862556,0.10243055555555555,25456.66279658565,0.061342592592592594
5,25415.425654658564,0.10243055555555555,25443.039460358796,0.13773148148148148
6,25426.19401945891,0.09809027777777778,25414.472565827546,0.09027777777777778
7,25423.959752965857,0.09461805555555555,25413.811197916668,0.07407407407407407
8,25414.578821252893,0.08275462962962964,25461.140480324073,0.06481481481481481
9,25419.870094581885,0.08449074074074074,25453.286494502314,0.1284722222222222
10,25416.628508391204,0.0865162037037037,25442.65838396991,0.08217592592592593
11,25427.783325195312,0.08072916666666667,25444.02412471065,0.15393518518518517
12,25406.225043402777,0.078125,25449.996509693286,0.005787037037037037
13,25413.527809425635,0.08188657407407407,25433.665436921296,0.008101851851851851
14,25431.51085973669,0.07436342592592593,25408.854853877314,0.05092592592592592
15,25415.72012894242,0.08506944444444445,25430.19773582176,0.027777777777777776
16,25434.382179542823,0.0787037037037037,25403.26141131366,0.04282407407407408
17,25429.866183810766,0.07002314814814815,25414.36277488426,0.1423611111111111
18,25433.691899052374,0.08101851851851852,25442.905834056714,0.02662037037037037
19,25412.662660951966,0.07609953703703703,25403.66232638889,0.01273148148148148
20,25426.727430555555,0.06915509259259259,25414.772063078704,0.011574074074074073
21,25420.847574869793,0.0775462962962963,25427.531611689814,0.041666666666666664
22,25425.426129376447,0.07175925925925926,25442.458658854168,0.1099537037037037
23,25424.341742621527,0.0853587962962963,25455.745026765046,0.034722222222222224
24,25406.112481011285,0.07378472222222222,25450.133355034723,0.041666666666666664
25,25428.488918728297,0.07349537037037036,25450.97587528935,0.01273148148148148
26,25397.244203920716,0.0703125,25443.308666087964,0.008101851851851851
27,25413.657701280383,0.07581018518518519,25411.39449508102,0.03356481481481482
28,25415.56769024884,0.06539351851851852,25442.471317997686,0.04398148148148148
29,25434.971770109954,0.07552083333333333,25432.588252314814,0.14351851851851852
30,25429.945303457756,0.06886574074074074,25425.73972800926,0.1111111111111111
